date,scientific_name,address,city,state,quality_grade
2021-04-06,Magicicada septendecim,Albert Johnson Rd,Nashville,IN,research
2021-04-06,Magicicada cassinii,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-07,Magicicada septendecula,Turkey Run Loop Rd,McLean,VA,research
2021-04-07,Magicicada septendecim,Cobble Creek Curve,Newark,DE,research
2021-04-07,Magicicada septendecim,Highlawn Ave,Lexington,KY,needs_id
2021-04-07,Magicicada,Rosecrest Dr,Dayton,OH,research
2021-04-08,Magicicada septendecim,W Saint Georges Rd,Baltimore,MD,research
2021-04-08,Magicicada,Rock Creek Regional Park,Derwood,MD,research
2021-04-08,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-08,Magicicada,Rock Creek Regional Park,Derwood,MD,research
2021-04-08,Magicicada septendecim,Partridge Ln,Elkin,NC,research
2021-04-09,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-09,Magicicada cassinii,Valleyway Ct,Cincinnati,OH,research
2021-04-09,Magicicada septendecula,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-09,Magicicada septendecim,West Side,Cumberland,MD,research
2021-04-09,Magicicada septendecim,Jon Paul Dr,Alexandria,VA,research
2021-04-09,Magicicada septendecim,Quarterhorse Ln,Woodbridge,VA,research
2021-04-10,Magicicada,Georgetown,Washington,DC,research
2021-04-10,Magicicada cassinii,South Bethlehem,Bethlehem,PA,research
2021-04-10,Magicicada septendecim,Goucher College,Towson,MD,research
2021-04-10,Magicicada,Lahey Lost Valley Park,Vienna,VA,research
2021-04-10,Magicicada cassinii,Lahey Lost Valley Park,Vienna,VA,research
2021-04-10,Magicicada cassinii,Lahey Lost Valley Park,Vienna,VA,research
2021-04-10,Magicicada,Woodman Ave,Silver Spring,MD,research
2021-04-10,Magicicada septendecim,Arlington Forest,Arlington,VA,needs_id
2021-04-10,Magicicada,Wheaton Regional Park,Silver Spring,MD,research
2021-04-10,Magicicada septendecim,Tapawingo Rd SW,Vienna,VA,research
2021-04-11,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-11,Magicicada cassinii,Sligo Creek Park,Silver Spring,MD,research
2021-04-11,Magicicada septendecula,N College Ave,Newark,DE,research
2021-04-11,Magicicada septendecim,W Ralston Dr,Bloomington,IN,research
2021-04-11,Magicicada septendecim,Battery Ricketts,Washington,DC,research
2021-04-11,Magicicada septendecim,Old Gray Summit Rd,Pacific,MO,research
2021-04-11,Magicicada,Great Falls Park,Great Falls,VA,research
2021-04-11,Magicicada cassinii,Great Falls Park,Great Falls,VA,research
2021-04-11,Magicicada,Fort Reno Park,Washington,DC,research
2021-04-11,Magicicada septendecula,nd St NE,Washington,DC,research
2021-04-11,Magicicada septendecim,Good Luck Rd,Glenn Dale,MD,research
2021-04-11,Magicicada septendecim,Griffith Rd & Burfoot St,Pimmit Hills,VA,research
2021-04-11,Magicicada septendecim,Tapawingo Rd SW,Vienna,VA,research
2021-04-11,Magicicada cassinii,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-11,Magicicada cassinii,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-12,Magicicada septendecim,Empire Pl,Greenbelt,MD,research
2021-04-12,Magicicada septendecim,Highbanks Metro Park,Lewis Center,OH,research
2021-04-12,Magicicada septendecula,Seneca Regional Park,Great Falls,VA,research
2021-04-12,Magicicada septendecim,Finksburg,Finksburg,MD,research
2021-04-12,Magicicada cassinii,Washington,Washington,DC,research
2021-04-12,Magicicada cassinii,Stuart Rd,Princeton,NJ,research
2021-04-12,Magicicada septendecim,Whitfield Ave,Cincinnati,OH,research
2021-04-12,Magicicada septendecim,Gephart Dr,Cumberland,MD,research
2021-04-12,Magicicada septendecim,Rock Creek Park,Washington,DC,needs_id
2021-04-12,Magicicada septendecim,Tapawingo Rd SW,Vienna,VA,research
2021-04-12,Magicicada,Tapawingo Rd SW,Vienna,VA,research
2021-04-12,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-12,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-12,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-13,Magicicada,Park St,Silver Spring,MD,research
2021-04-13,Magicicada septendecim,Perkiomen Trail,Harleysville,PA,research
2021-04-13,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-13,Magicicada cassinii,Calamo St,Springfield,VA,research
2021-04-13,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-13,Magicicada septendecim,Ashley Brook Dr,Hamilton,OH,research
2021-04-13,Magicicada,Luria Park,Falls Church,VA,research
2021-04-13,Magicicada septendecim,Luria Park,Falls Church,VA,research
2021-04-13,Magicicada septendecim,Southland Ave,Alexandria,VA,research
2021-04-13,Magicicada,MacArthur Blvd,Potomac,MD,research
2021-04-14,Magicicada tredecim,Hills & Dales MetroPark,Kettering,OH,research
2021-04-14,Magicicada septendecim,Shroyer Park,Dayton,OH,research
2021-04-14,Magicicada tredecim,Carroll Ave & Garland Ave,Silver Spring,MD,research
2021-04-14,Magicicada cassinii,Cito Rd,Mc Connellsburg,PA,research
2021-04-14,Magicicada septendecula,N Taylor St,Arlington,VA,research
2021-04-14,Magicicada septendecim,Lyon Park,Arlington,VA,research
2021-04-14,Magicicada cassinii,Sligo Creek Park,Silver Spring,MD,research
2021-04-14,Magicicada septendecula,Kingsvale Cir,Herndon,VA,research
2021-04-14,Magicicada cassinii,Dublin Pike,Quakertown,PA,research
2021-04-14,Magicicada,Rock Creek Regional Park,Derwood,MD,research
2021-04-14,Magicicada septendecim,Tapawingo Rd SW,Vienna,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-14,Magicicada septendecim,Louis Latzer Dr,Greenville,IL,research
2021-04-14,Magicicada septendecula,N St Joseph Ave,Evansville,IN,research
2021-04-14,Magicicada septendecim,Bradley Blvd,Bethesda,MD,research
2021-04-14,Magicicada septendecim,Brookville Park,Chevy Chase,MD,research
2021-04-14,Magicicada,Lehigh Rd,Newark,DE,research
2021-04-14,Magicicada cassinii,Glen Echo Park,Glen Echo,MD,research
2021-04-14,Magicicada septendecula,Glen Echo Park,Glen Echo,MD,research
2021-04-14,Magicicada septendecula,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada septendecim,Glen Echo Park,Glen Echo,MD,research
2021-04-14,Magicicada,Glen Echo Park,Glen Echo,MD,research
2021-04-14,Magicicada cassinii,Glen Echo Park,Glen Echo,MD,research
2021-04-14,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-14,Magicicada cassinii,N Fillmore St,Arlington,VA,research
2021-04-14,Magicicada septendecim,The Lawrenceville School,Lawrence Township,NJ,research
2021-04-15,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada cassinii,Sligo Creek Park,Silver Spring,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada,Tenth Rd N,Arlington,VA,research
2021-04-15,Magicicada septendecula,Tenth Rd N,Arlington,VA,research
2021-04-15,Magicicada septendecim,Wheaton Regional Park,Silver Spring,MD,research
2021-04-15,Magicicada cassinii,Hueston Woods State Park,Oxford,OH,research
2021-04-15,Magicicada septendecim,Buck Branch Stream Valley Park,Potomac,MD,research
2021-04-15,Magicicada cassinii,St Paul St,Kensington,MD,research
2021-04-15,Magicicada septendecim,Highland Rd,Clarksville,MD,research
2021-04-15,Magicicada septendecim,White Birch Ct,Greenbelt,MD,research
2021-04-15,Magicicada cassinii,Forest Run Dr,Ashburn,VA,research
2021-04-15,Magicicada septendecim,Shepherd St NW,Washington,DC,research
2021-04-15,Magicicada,Ashford Rd,Silver Spring,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Perry St NE,Washington,DC,research
2021-04-15,Magicicada septendecula,South Lakes Village,Reston,VA,research
2021-04-15,Magicicada septendecim,Stephens Knob,McCreary County,KY,research
2021-04-15,Magicicada,Wilde Lake,Columbia,MD,research
2021-04-15,Magicicada septendecim,Gregerscroft Rd,Potomac,MD,needs_id
2021-04-15,Magicicada septendecim,Water Caffi Fields,Vienna,VA,research
2021-04-15,Magicicada cassinii,Mosby Hollow Dr,Herndon,VA,research
2021-04-15,Magicicada septendecula,St Paul St,Kensington,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Ninth Rd N,Arlington,VA,research
2021-04-15,Magicicada septendecim,Glen Echo Park,Glen Echo,MD,research
2021-04-15,Magicicada septendecim,Glen Echo Park,Glen Echo,MD,research
2021-04-15,Magicicada septendecim,Glen Echo Park,Glen Echo,MD,research
2021-04-15,Magicicada septendecim,Tenth Rd N,Arlington,VA,research
2021-04-15,Magicicada septendecim,Tenth Rd N,Arlington,VA,research
2021-04-15,Magicicada septendecim,Patrick Henry Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,Tenth Rd N,Arlington,VA,research
2021-04-15,Magicicada septendecim,N Four Mile Run Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,N Powhatan St,Arlington,VA,research
2021-04-15,Magicicada septendecim,Madison Manor Park,Arlington,VA,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Patrick Henry Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,Custis Trail,Arlington,VA,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-15,Magicicada septendecim,N Arlington Mill Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,N Arlington Mill Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,N Arlington Mill Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,N Larrimore St,Arlington,VA,research
2021-04-15,Magicicada septendecim,N Larrimore St,Arlington,VA,research
2021-04-15,Magicicada septendecim,Glen Echo Park,Glen Echo,MD,research
2021-04-15,Magicicada septendecim,Autumn Rust Rd,Ellicott City,MD,research
2021-04-15,Magicicada septendecula,Great Falls St,Falls Church,VA,research
2021-04-15,Magicicada,Wilson Rd,Princeton,NJ,research
2021-04-15,Magicicada septendecim,Wilson Rd,Princeton,NJ,research
2021-04-15,Magicicada,N Pershing Dr,Arlington,VA,research
2021-04-15,Magicicada septendecim,N Pershing Dr,Arlington,VA,research
2021-04-15,Magicicada,N Pershing Dr,Arlington,VA,research
2021-04-15,Magicicada,N Garfield St,Arlington,VA,research
2021-04-15,Magicicada septendecim,Gunpowder Falls State Park,Kingsville,MD,research
2021-04-15,Magicicada septendecim,Centennial Park,Ellicott City,MD,research
2021-04-15,Magicicada cassinii,Underwood St NW,Washington,DC,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-16,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-16,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-16,Magicicada septendecim,Sligo Creek Park,Silver Spring,MD,research
2021-04-16,Magicicada septendecim,Hueston Woods State Park,College Corner,OH,research
2021-04-16,Magicicada septendecim,Nebraska Ave NW,Washington,DC,research
2021-04-16,Magicicada septendecim,Devenish Dr,Oakton,VA,research
2021-04-16,Magicicada cassinii,Worthington Heights parkway,Cockeysville,MD,research
2021-04-16,Magicicada septendecula,Marcey Rd,Arlington,VA,research
2021-04-16,Magicicada septendecula,Druid Hill Park,Baltimore,MD,research
2021-04-16,Magicicada septendecim,Great Falls Park,Great Falls,VA,research
2021-04-16,Magicicada septendecim,N Fillmore St,Arlington,VA,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Park,Washington,DC,research
2021-04-16,Magicicada septendecim,Jefferson St,Alexandria,VA,research
2021-04-16,Magicicada cassinii,Massachusetts Ave SE,Washington,DC,research
2021-04-16,Magicicada septendecim,Town Center,Columbia,MD,research
2021-04-16,Magicicada septendecim,Wall Park,North Bethesda,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecula,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,N Manchester St,Arlington,VA,research
2021-04-16,Magicicada septendecim,N Lexington St,Arlington,VA,research
2021-04-16,Magicicada cassinii,N Lexington St,Arlington,VA,research
2021-04-16,Magicicada,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada cassinii,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada septendecim,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada septendecim,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada septendecim,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Bluemont Junction Park,Arlington,VA,research
2021-04-16,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada cassinii,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-16,Magicicada,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
2021-04-16,Magicicada septendecim,Walnut St NW,Washington,DC,research
2021-04-16,Magicicada cassinii,Pohick,Fairfax Station,VA,research
2021-04-16,Magicicada septendecim,Hyattstown Mill Rd,Clarksburg,MD,research
2021-04-16,Magicicada cassinii,Kentbury Dr,Bethesda,MD,research
2021-04-16,Magicicada septendecim,Charter Oak Ave,Baltimore,MD,research
2021-04-16,Magicicada septendecim,Yale Dr,Alexandria,VA,research
2021-04-16,Magicicada septendecim,Abbotsford Dr,Vienna,VA,research
2021-04-16,Magicicada,N  E,Fremont,IN,research
2021-04-16,Magicicada,Donaldson Run,Arlington,VA,research
2021-04-16,Magicicada septendecim,Daniel Boone National Forest,West Liberty,KY,research
2021-04-17,Magicicada cassinii,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-17,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-17,Magicicada septendecim,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-17,Magicicada,Lois Y. Green Park,Gaithersburg,MD,research
2021-04-17,Magicicada,Sligo Creek Park,Silver Spring,MD,research
2021-04-17,Magicicada,Wheaton Regional Park,Silver Spring,MD,research
2021-04-17,Magicicada cassinii,Gulf Branch Nature Center & Park,Arlington,VA,research
2021-04-17,Magicicada septendecula,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-17,Magicicada septendecim,Clifty Falls State Park,Madison,IN,research
2021-04-17,Magicicada cassinii,N Lakewood Ct,Bloomington,IN,research
2021-04-17,Magicicada,Fernald Preserve,Hamilton,OH,research
2021-04-17,Magicicada cassinii,Beechgrove Ln,Potomac,MD,research
2021-04-17,Magicicada septendecim,Dulaney Valley Rd,Towson,MD,research
2021-04-17,Magicicada septendecim,N Westmoreland St,Arlington,VA,research
2021-04-17,Magicicada,Indiana University Bloomington,Bloomington,IN,research
2021-04-17,Magicicada septendecim,Dogwood Rd,Windsor Mill,MD,research
2021-04-17,Magicicada cassinii,Wheaton Regional Park,Silver Spring,MD,research
2021-04-17,Magicicada cassinii,Ashton Rd,Ashton,MD,research
2021-04-17,Magicicada,Shakamak State Park,Jasonville,IN,research
2021-04-17,Magicicada cassinii,Town Center,Columbia,MD,research
2021-04-17,Magicicada septendecim,Town Center,Columbia,MD,research
2021-04-17,Magicicada septendecim,Van Dyck Park,Fairfax,VA,research
2021-04-17,Magicicada septendecim,Rachel Carson Conservation Park,Brookeville,MD,research
2021-04-17,Magicicada septendecim,Ninth Rd N,Arlington,VA,research
2021-04-17,Magicicada septendecim,Glen Echo Park,Glen Echo,MD,research
2021-04-17,Magicicada septendecim,Rock Creek Regional Park,Derwood,MD,research
